Strain	wsper1	wsper10	wsper100	wsper101	wsper102	wsper103	wsper104	wsper105	wsper106	wsper107	wsper108	wsper109	wsper11	wsper110	wsper111	wsper112	wsper113	wsper114	wsper115	wsper116	wsper117	wsper118	wsper119	wsper12	wsper120	wsper121	wsper122	wsper123	wsper125	wsper126	wsper127	wsper128	wsper129	wsper13	wsper130	wsper131	wsper132	wsper133	wsper134	wsper135	wsper136	wsper137	wsper138	wsper139	wsper14	wsper140	wsper141	wsper142	wsper143	wsper144	wsper145	wsper146	wsper147	wsper148	wsper149	wsper15	wsper150	wsper151	wsper152	wsper153	wsper154	wsper155	wsper156	wsper157	wsper158	wsper159	wsper16	wsper160	wsper161	wsper163	wsper164	wsper165	wsper166	wsper167	wsper168	wsper17	wsper170	wsper171	wsper172	wsper173	wsper174	wsper175	wsper19	wsper2	wsper20	wsper21	wsper22	wsper23	wsper24	wsper25	wsper26	wsper27	wsper28	wsper29	wsper3	wsper30	wsper31	wsper32	wsper33	wsper34	wsper36	wsper37	wsper38	wsper39	wsper4	wsper40	wsper41	wsper42	wsper43	wsper44	wsper45	wsper46	wsper47	wsper48	wsper49	wsper5	wsper50	wsper51	wsper53	wsper54	wsper55	wsper56	wsper57	wsper58	wsper59	wsper6	wsper60	wsper61	wsper62	wsper63	wsper64	wsper65	wsper66	wsper67	wsper68	wsper69	wsper7	wsper70	wsper72	wsper73	wsper74	wsper75	wsper76	wsper77	wsper78	wsper79	wsper8	wsper80	wsper81	wsper82	wsper83	wsper84	wsper85	wsper86	wsper87	wsper88	wsper89	wsper9	wsper90	wsper91	wsper92	wsper93	wsper94	wsper95	wsper96	wsper97	wsper98	wsper99
Root101	9886	1277	745	293	529	804	533	758	1667	8469	6503	8462	35003	8535	8804	1701	831	2052	2122	1993	5627	5023	6107	29405	7576	6425	584	970	1423	305	542	532	896	24806	750	832	441	353	277	281	456	25	307	393	23203	731	783	152	453	260	504	655	2076	1654	731	24234	1541	625	992	185	122	260	338	291	187	255	22606	11906	15	2	0	3	2	0	3	13243	1	1683	112	0	0	3	28937	12274	5151	1386	1154	1294	590	1292	116	301	188	169	22461	140	66	723	1129	1028	198	439	276	320	19293	345	20782	30854	19938	53904	17691	32012	264	177	520	18654	249	369	2458	19813	24088	25356	21724	6109	15897	15638	12103	18896	3785	3464	9166	15278	4351	6823	5526	3889	9005	10331	3324	1039	1914	1482	2097	2042	2188	507	7352	242	180	278	375	93	925	1034	2335	2423	688	4983	407	499	747	918	9925	11354	7619	9890	5446	6936
Root61	959	1098	775	265	435	681	516	708	2563	18	56	45	1367	24	16	9	15	12	6	4	66	26	38	90	63	76	30	0	10	10	1372	1228	2055	51	1490	1925	293	186	155	191	212	46	794	940	455	1574	1544	149	150	125	172	262	40	62	13	102	45	27	32	189	84	144	216	172	170	600	428	5	13028	0	3	0	0	0	0	18	1	47	94	2	1	4	34	40	34	4443	3506	5280	1960	4097	154	220	201	125	55	229	205	3086	4457	3550	680	557	416	781	201	550	307	67	159	133	29	58	786	371	1091	1934	643	783	3977	75	131	107	78	24	111	66	171	69	26	56	362	149	21	41	63	49	28	23	17	31	4457	3938	5706	4944	5895	398	14	131	153	232	306	257	3488	3217	6647	5935	395	19040	401	333	455	467	199	289	141	451	134	230
Root265	84	824	117	89	118	155	98	188	543	16	8	20	263	19	11	6	0	4	7	0	10	3	5	97	7	13	0	1	0	0	149	160	226	47	277	229	365	402	108	196	375	12	90	58	41	205	205	192	194	133	255	343	26	13	12	176	11	3	7	67	41	73	109	102	89	99	46	4	5	1	2	0	3	0	0	8	6	7	27	7	6	2	39	447	7	263	97	152	16	135	83	265	98	15	51	73	7	72	168	105	83	207	114	199	710	121	1715	2436	962	664	227	413	138	130	233	1249	195	179	935	19	19	38	15	2	16	8	25	21	0	1	173	5	9	4	21	7	116	3	5	1	226	167	221	179	206	148	118	107	48	88	111	10	127	142	481	266	122	117	38	100	242	210	24	34	18	22	11	20
Root1310	0	0	0	41	0	5	0	3	8549	0	0	0	0	0	0	0	0	0	0	0	34	0	0	111	1	8	661	0	275	0	0	10	0	0	0	0	5	15	5	0	0	0	4	0	0	9	0	3	0	4	0	1	2	0	2	0	0	0	1	3	3	0	0	0	0	1586	1	6	0	5135	4	4	0	0	0	4	9	338	0	0	0	5	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	7	0	0	0	0	0	54	0	0	0	0	0	0	0	547	2	25	0	7	3	5	0	2	0	3	2	3	3	0	0	5	10	0	2	0	0	4	31	0	15	0	0	0	0	0	0	2	8	4	1	7	6	0	0	0	2	3	0	1854	653	226	2249	1	1479
Root77	123	43	781	405	750	1273	783	1313	1740	38	24	56	501	80	43	0	4	4	0	0	65	30	50	697	65	92	6	3	7	0	305	337	460	461	480	480	274	237	121	216	273	31	214	264	826	463	480	138	202	143	305	340	119	150	84	378	192	61	112	190	85	203	283	256	240	193	77	1	5	6	4289	2	4	2	3	64	4	76	124	5	0	1	195	62	49	1224	799	1293	554	1168	250	671	320	75	96	363	80	530	996	895	261	367	423	399	228	472	688	486	452	1930	751	812	591	288	776	328	813	820	1636	97	210	336	129	22	248	22	212	310	27	28	827	136	7	107	29	44	20	81	12	5	1418	1097	1911	1635	1839	595	10	421	282	379	585	81	685	873	1769	1762	559	4221	525	549	674	1077	363	537	332	465	269	305
Root123D2	17	15	269	113	194	276	256	224	2151	3	10	6	69	12	2	0	0	0	0	0	6	0	5	19	0	4	7	0	0	1	649	409	699	46	656	748	242	162	122	167	203	56	391	470	70	804	765	150	182	162	239	382	10	0	0	31	4	0	9	97	97	142	205	198	151	167	15	8	0	6	2	4274	2	2	0	9	3	3	39	0	1	0	30	8	6	1451	1039	1788	1093	1756	186	595	325	138	20	485	107	933	1134	1548	280	537	424	494	14	478	19	25	12	183	48	42	361	303	621	14	345	644	2047	5	5	13	8	0	0	4	0	0	3	6	669	10	1	4	3	12	8	0	0	3	1064	770	916	1051	1456	103	2	36	24	75	66	57	509	741	1395	1511	52	5	47	63	150	134	3	8	0	9	2	0
Root685	14	19	784	488	691	1096	771	1038	2210	23	22	26	14	46	13	7	10	43	11	30	47	30	22	35	70	78	15	9	18	4	764	642	1006	22	871	1018	1192	735	475	817	1225	66	398	599	20	925	876	634	836	621	1274	1292	70	99	33	15	138	62	58	216	112	189	383	355	236	1048	34	1	2	14	0	59	6001	0	0	5	5	59	130	9	5	7	16	26	6	1896	1642	3136	3591	3696	1793	3356	1771	716	22	1957	151	1314	1466	2697	1958	2075	2616	2128	19	2125	48	42	27	85	26	34	695	504	933	23	811	940	2715	26	54	49	27	49	130	15	149	103	14	25	822	121	16	46	77	59	6	29	18	17	2523	1500	2281	2357	2678	3710	7	2933	2165	3117	3975	194	1036	1584	2691	3292	2687	16	3426	2588	3933	5370	168	141	54	439	206	183
Root695	3062	2067	261	156	235	368	303	306	924	334	454	448	3515	546	274	459	437	346	264	416	781	504	666	6419	779	1454	318	126	179	104	279	215	373	4695	276	371	624	425	203	365	747	19	158	188	7052	304	271	372	395	342	734	730	444	445	127	2562	314	147	207	85	65	123	165	147	120	554	841	0	0	5	1	4	0	4164	0	4587	0	378	41	3	1	2	5261	561	247	738	563	792	699	1057	703	1672	862	256	700	685	40	313	568	688	770	997	1173	746	1299	884	12112	13575	12473	24517	10042	14330	275	261	367	8754	371	423	1156	1437	1896	1676	1501	476	1953	337	1958	1710	551	763	1183	1638	892	778	1247	941	77	593	364	206	774	432	729	647	753	966	213	665	662	696	995	54	355	433	945	905	942	1416	978	899	1507	1395	2190	3434	2159	2685	1329	1894
Root142	101	63	2152	1245	1998	3132	2108	2146	3077	308	126	235	67	451	204	157	35	75	68	116	440	423	371	1202	689	678	50	52	246	30	3087	2670	4538	1477	3356	3855	4418	3270	2009	3064	4402	237	1921	2518	272	4382	3790	2559	3583	2563	3890	4759	762	701	443	62	1094	424	669	857	605	915	1593	1533	1076	1750	124	13	20	25	11	23	35	20	3149	42	26	861	340	53	6	31	51	70	25	7440	6883	8119	21144	11788	14378	20096	15448	8148	67	20665	521	5047	5927	9446	10085	8915	11143	9956	61	13137	82	209	63	730	346	329	1958	1294	2259	101	2021	1439	3219	871	1248	1640	1730	731	2516	53	2879	3264	2653	418	2602	1330	1430	290	890	1567	61	635	605	83	8456	5931	8583	9206	8284	20424	23	18231	12265	19080	19945	668	4507	5430	9485	12582	10152	61	13344	10251	15923	20653	6744	6683	2906	7650	3005	3946
Root935	39466	1338	15458	11921	16670	25141	22217	23061	12172	14564	12534	12205	29388	11028	12939	7878	6354	7625	7760	6585	11542	8191	8349	14125	12000	12258	14654	5787	17040	4116	13088	9840	13641	30996	13673	16632	15059	11670	10663	10592	14682	997	7045	8237	33923	14195	15448	7479	9061	9144	14049	16679	8838	7615	5253	59242	10723	5010	7115	4952	3974	5766	9266	8007	8349	8304	8048	5	2	151	1	70	0	0	5	870	0	2934	2547	0	0	4	5860	67543	6552	27311	24217	34523	37791	40552	14648	27145	23126	47114	83296	62482	2172	21580	24126	32636	26060	30822	24370	38958	32001	50509	34597	63441	27513	37636	26511	36997	14597	12223	17026	5335	22767	20070	22576	29945	35437	37568	41524	51406	37338	944	29316	29913	26407	45353	31405	25663	22166	46574	43290	26068	58959	15275	16427	12866	28867	21031	31789	29055	33838	25484	79559	20414	15638	24986	28519	2536	17140	21761	41787	39473	19778	31055	22038	19057	31896	38839	18132	21515	12319	20979	9818	13711
