Sample	genotype	treatment	compartment	replicate
wsper_batch2_1	Ws4	NA	root	A
wsper_batch2_2	Ws4	NA	root	A
wsper_batch2_3	Ws4	NA	root	A
wsper_batch2_4	Ws4	NA	root	A
wsper_batch2_5	Ws4	NA	root	A
wsper_batch2_6	Ws4	MeJA	root	A
wsper_batch2_7	Ws4	MeJA	root	A
wsper_batch2_8	Ws4	MeJA	root	A
wsper_batch2_9	Ws4	MeJA	root	A
wsper_batch2_10	Ws4	MeJA	root	A
wsper_batch2_11	Ws4	DCB	root	A
wsper_batch2_13	Ws4	DCB	root	A
wsper_batch2_14	Ws4	DCB	root	A
wsper_batch2_15	Ws4	DCB	root	A
wsper_batch2_16	per5	NA	root	A
wsper_batch2_17	per5	NA	root	A
wsper_batch2_18	per5	NA	root	A
wsper_batch2_19	per5	NA	root	A
wsper_batch2_20	per5	NA	root	A
wsper_batch2_21	Ws4	NA	shoot	A
wsper_batch2_22	Ws4	NA	shoot	A
wsper_batch2_23	Ws4	NA	shoot	A
wsper_batch2_24	Ws4	NA	shoot	A
wsper_batch2_25	Ws4	NA	shoot	A
wsper_batch2_26	Ws4	MeJA	shoot	A
wsper_batch2_27	Ws4	MeJA	shoot	A
wsper_batch2_28	Ws4	MeJA	shoot	A
wsper_batch2_29	Ws4	MeJA	shoot	A
wsper_batch2_30	Ws4	MeJA	shoot	A
wsper_batch2_31	Ws4	DCB	shoot	A
wsper_batch2_32	Ws4	DCB	shoot	A
wsper_batch2_33	Ws4	DCB	shoot	A
wsper_batch2_34	Ws4	DCB	shoot	A
wsper_batch2_35	Ws4	DCB	shoot	A
wsper_batch2_36	per5	NA	shoot	A
wsper_batch2_37	per5	NA	shoot	A
wsper_batch2_38	per5	NA	shoot	A
wsper_batch2_39	per5	NA	shoot	A
wsper_batch2_40	per5	NA	shoot	A
wsper_batch2_41	Ws4	NA	root	B
wsper_batch2_42	Ws4	NA	root	B
wsper_batch2_43	Ws4	NA	root	B
wsper_batch2_44	Ws4	NA	root	B
wsper_batch2_45	Ws4	NA	root	B
wsper_batch2_46	Ws4	MeJA	root	B
wsper_batch2_47	Ws4	MeJA	root	B
wsper_batch2_48	Ws4	MeJA	root	B
wsper_batch2_49	Ws4	MeJA	root	B
wsper_batch2_50	Ws4	DCB	root	B
wsper_batch2_51	Ws4	DCB	root	B
wsper_batch2_52	Ws4	DCB	root	B
wsper_batch2_53	Ws4	DCB	root	B
wsper_batch2_54	Ws4	DCB	root	B
wsper_batch2_55	per5	NA	root	B
wsper_batch2_56	per5	NA	root	B
wsper_batch2_57	per5	NA	root	B
wsper_batch2_58	per5	NA	root	B
wsper_batch2_59	Ws4	NA	shoot	B
wsper_batch2_60	Ws4	NA	shoot	B
wsper_batch2_61	Ws4	NA	shoot	B
wsper_batch2_62	Ws4	NA	shoot	B
wsper_batch2_63	Ws4	NA	shoot	B
wsper_batch2_64	Ws4	MeJA	shoot	B
wsper_batch2_65	Ws4	MeJA	shoot	B
wsper_batch2_66	Ws4	MeJA	shoot	B
wsper_batch2_67	Ws4	MeJA	shoot	B
wsper_batch2_68	Ws4	MeJA	shoot	B
wsper_batch2_69	Ws4	DCB	shoot	B
wsper_batch2_70	Ws4	DCB	shoot	B
wsper_batch2_71	Ws4	DCB	shoot	B
wsper_batch2_72	Ws4	DCB	shoot	B
wsper_batch2_73	Ws4	DCB	shoot	B
wsper_batch2_74	per5	NA	shoot	B
wsper_batch2_75	per5	NA	shoot	B
wsper_batch2_76	per5	NA	shoot	B
wsper_batch2_77	per5	NA	shoot	B
wsper_batch2_78	per5	NA	shoot	B
wsper_batch2_79	Ws4	NA	agar	A
wsper_batch2_80	Ws4	NA	agar	A
wsper_batch2_81	Ws4	MeJA	agar	A
wsper_batch2_82	Ws4	MeJA	agar	A
wsper_batch2_83	Ws4	DCB	agar	A
wsper_batch2_84	Ws4	DCB	agar	A
wsper_batch2_85	per5	NA	agar	A
wsper_batch2_86	per5	NA	agar	A
wsper_batch2_87	Ws4	NA	agar	B
wsper_batch2_88	Ws4	NA	agar	B
wsper_batch2_89	Ws4	MeJA	agar	B
wsper_batch2_90	Ws4	MeJA	agar	B
wsper_batch2_91	Ws4	DCB	agar	B
wsper_batch2_92	Ws4	DCB	agar	B
wsper_batch2_93	per5	NA	agar	B
wsper_batch2_94	per5	NA	agar	B
wsper_batch2_95				
wsper_batch2_96				
