	wsper_batch2_1	wsper_batch2_2	wsper_batch2_3	wsper_batch2_4	wsper_batch2_5	wsper_batch2_6	wsper_batch2_7	wsper_batch2_8	wsper_batch2_9	wsper_batch2_10	wsper_batch2_11	wsper_batch2_13	wsper_batch2_14	wsper_batch2_15	wsper_batch2_16	wsper_batch2_17	wsper_batch2_18	wsper_batch2_19	wsper_batch2_20	wsper_batch2_21	wsper_batch2_22	wsper_batch2_23	wsper_batch2_24	wsper_batch2_25	wsper_batch2_26	wsper_batch2_27	wsper_batch2_28	wsper_batch2_29	wsper_batch2_30	wsper_batch2_31	wsper_batch2_32	wsper_batch2_33	wsper_batch2_34	wsper_batch2_35	wsper_batch2_36	wsper_batch2_37	wsper_batch2_38	wsper_batch2_39	wsper_batch2_40	wsper_batch2_41	wsper_batch2_42	wsper_batch2_43	wsper_batch2_44	wsper_batch2_45	wsper_batch2_46	wsper_batch2_47	wsper_batch2_48	wsper_batch2_49	wsper_batch2_50	wsper_batch2_51	wsper_batch2_52	wsper_batch2_53	wsper_batch2_54	wsper_batch2_55	wsper_batch2_56	wsper_batch2_57	wsper_batch2_58	wsper_batch2_59	wsper_batch2_60	wsper_batch2_61	wsper_batch2_62	wsper_batch2_63	wsper_batch2_64	wsper_batch2_65	wsper_batch2_66	wsper_batch2_67	wsper_batch2_68	wsper_batch2_69	wsper_batch2_70	wsper_batch2_71	wsper_batch2_72	wsper_batch2_73	wsper_batch2_74	wsper_batch2_75	wsper_batch2_76	wsper_batch2_77	wsper_batch2_78	wsper_batch2_79	wsper_batch2_80	wsper_batch2_81	wsper_batch2_82	wsper_batch2_83	wsper_batch2_84	wsper_batch2_85	wsper_batch2_86	wsper_batch2_87	wsper_batch2_88	wsper_batch2_89	wsper_batch2_90	wsper_batch2_91	wsper_batch2_92	wsper_batch2_93	wsper_batch2_94
Root101	1648	2766	2755	1864	2253	1320	1776	1671	1832	836	1780	2418	845	1580	690	849	2430	812	36	780	528	233	240	222	190	2758	388	537	606	374	342	390	275	423	1246	162	359	1118	270	1920	752	1729	1472	1954	1140	1680	780	472	1374	2264	1456	2540	1022	1558	719	540	806	150	104	399	235	136	196	111	114	49	123	230	150	288	136	173	222	114	161	204	282	685	460	458	384	603	633	920	634	512	380	466	1416	685	606	218	141
Root61	11	5	7	3	1	65	17	27	9	15	11	52	33	35	5	43	65	9	30	5	26	8	0	4	55	185	36	36	88	55	37	66	40	54	6	7	16	8	7	0	0	0	0	0	5	4	1	3	2	0	0	1	1	3	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	6	0	0	0	0	3	0	5	3	5	13	21	37	11	5	9	5	10	4	6	6	5	2
Root265	51	82	259	100	101	39	188	411	133	80	36	164	56	98	12	35	5	51	29	39	27	38	31	12	29	133	44	74	48	115	112	80	251	59	28	6	4	21	3	25	8	13	33	33	88	59	44	40	57	34	27	46	36	30	8	2	37	2	1	8	6	7	10	3	5	4	18	9	8	20	4	3	6	4	6	9	4	116	92	106	114	234	299	174	103	122	142	110	508	128	185	62	41
Root1310	89	48	102	74	82	57	57	42	64	48	26	88	22	41	43	52	4	60	36	34	4	13	9	8	5	50	72	88	7	126	9	30	54	4	61	198	65	125	269	64	45	27	51	76	116	115	86	75	74	87	82	93	122	74	65	46	46	26	53	28	68	14	89	72	42	138	41	50	42	41	10	36	117	155	220	267	148	7	113	7	39	29	67	62	43	248	321	162	371	95	216	70	104
Root77	0	6	13	3	3	0	0	0	0	2	0	0	0	0	4	7	0	32	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	11	13	2	0	4	0	5	7	13	9	3	5	7	3	5	11	13	6	4	1	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	2	0	2	1	1	1	3	29	4	8	9	5	66	20	40	62	51	73	33	52	26	28
Root123D2	3	3	6	3	0	31	4	22	7	22	9	35	27	28	2	6	0	4	3	0	2	0	0	2	1	11	4	4	10	0	8	29	3	4	0	0	0	0	1	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	2	3	2	2	2	2	3	0	1	1	0	0
Root685	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	4	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0
Root695	31	90	106	89	37	113	110	102	140	96	128	494	181	107	64	113	14	80	84	49	183	34	6	7	70	233	64	100	364	73	251	316	108	78	41	23	48	76	22	29	10	44	49	40	131	123	83	37	40	40	33	34	44	150	45	57	56	28	20	36	26	32	64	30	26	44	60	31	19	31	40	25	58	21	32	46	22	30	54	23	20	82	106	108	45	147	128	100	415	97	120	63	40
Root142	44	0	3	2	0	0	0	0	0	0	0	0	0	27	1	0	4	40	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	35	0	0	3	25	0	0	1	0	3	1	9	2	6	8	0	0	3	2	4	6	129	6	35	6	6	0	14	2	4	18	22	2	65	4	3	0	0	8	16	5	7	6	6	1	3	0	2	0	5	23	12	12	17	9	8	16	16	8	10
Root935	306	468	272	348	216	250	396	255	590	134	153	267	152	131	345	187	53	366	250	1894	917	1564	228	396	2084	4634	1079	2796	1958	459	1186	426	2443	2465	5473	175	1768	4109	1752	126	88	194	216	218	280	390	114	279	86	102	135	93	460	918	615	238	446	2626	427	1448	1080	454	1110	1268	528	1181	526	880	222	268	190	124	2374	1251	2132	2838	3002	2750	4942	766	2199	172	5430	6470	5614	4316	2324	992	1469	3916	2360	4162	4772
Root83	55	52	110	48	48	48	70	153	80	52	32	83	30	30	27	39	189	30	28	152	132	180	50	58	343	2331	364	353	1020	314	156	484	440	286	104	41	112	110	68	39	6	14	32	5	82	28	51	27	48	35	29	20	22	32	14	9	27	29	4	109	18	11	78	76	46	258	48	51	24	28	25	41	34	16	26	44	40	180	428	98	133	220	426	715	370	290	239	207	316	306	202	304	254
Root29	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	3	5	18	11	15	6	5	2	5	4	2	4	15	94	50	47	40	4	5	0	7	11	40	6	8	0	1	0	0	43	0	0	27	17	25	32	35	1	0	1	0	0	0	8	4	214	247	49	94	90	81	168	216
Root418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root131	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root68	2165	1530	2212	2870	1426	3660	4280	3608	3734	1403	1205	1368	3102	732	4453	5033	376	6151	5175	6154	5598	4546	4532	5138	4671	7262	3541	3974	3053	3366	3387	1030	4104	2731	8960	1791	5799	7697	5653	3461	1827	3497	2617	4808	4347	5618	5689	2977	1594	1299	1545	2696	2704	5105	5485	2874	4568	5122	3518	7615	5634	3104	8073	5328	5484	7302	6358	5710	5001	5147	5309	3926	3527	2335	2825	3533	3368	2676	4310	4363	5218	4823	5588	7888	4822	6974	2465	8760	9106	3005	3368	4035	4294
Root480	148	99	138	257	146	32	22	39	60	110	261	524	91	156	218	358	616	226	282	8	11	90	147	23	5	9	57	28	231	110	151	52	68	51	408	201	540	592	475	306	176	403	282	300	226	338	428	138	544	617	182	448	164	166	134	92	76	202	364	345	274	124	376	196	196	424	231	208	136	224	95	160	144	86	292	244	172	50	62	34	27	168	211	97	28	46	76	74	71	73	82	26	30
spike	6196	3239	3301	3912	3026	4671	4583	5228	4949	2246	3334	5483	2329	1777	2571	4427	4300	4414	3700	2177	3007	3173	2727	1980	1622	4049	2412	3176	1635	2677	3718	8926	5173	6226	5269	2464	5533	3805	5904	8313	4487	4864	7938	7526	6258	10836	9452	2474	4735	2896	3691	7646	5488	8611	10390	7031	7994	3243	4426	6934	3345	2415	5972	2666	2601	3707	3826	3235	3362	6323	4793	2339	1784	870	1965	2264	1095	2228	2397	1857	2706	2956	3564	4349	3482	4495	2951	4079	3623	2709	3247	2488	2392
