,wsper_batch2_1,wsper_batch2_2,wsper_batch2_3,wsper_batch2_4,wsper_batch2_5,wsper_batch2_6,wsper_batch2_7,wsper_batch2_8,wsper_batch2_9,wsper_batch2_10,wsper_batch2_11,wsper_batch2_13,wsper_batch2_14,wsper_batch2_15,wsper_batch2_16,wsper_batch2_17,wsper_batch2_18,wsper_batch2_19,wsper_batch2_20,wsper_batch2_21,wsper_batch2_22,wsper_batch2_23,wsper_batch2_24,wsper_batch2_25,wsper_batch2_26,wsper_batch2_27,wsper_batch2_28,wsper_batch2_29,wsper_batch2_30,wsper_batch2_31,wsper_batch2_32,wsper_batch2_33,wsper_batch2_34,wsper_batch2_35,wsper_batch2_36,wsper_batch2_37,wsper_batch2_38,wsper_batch2_39,wsper_batch2_40,wsper_batch2_41,wsper_batch2_42,wsper_batch2_43,wsper_batch2_44,wsper_batch2_45,wsper_batch2_46,wsper_batch2_47,wsper_batch2_48,wsper_batch2_49,wsper_batch2_50,wsper_batch2_51,wsper_batch2_52,wsper_batch2_53,wsper_batch2_54,wsper_batch2_55,wsper_batch2_56,wsper_batch2_57,wsper_batch2_58,wsper_batch2_59,wsper_batch2_60,wsper_batch2_61,wsper_batch2_62,wsper_batch2_63,wsper_batch2_64,wsper_batch2_65,wsper_batch2_66,wsper_batch2_67,wsper_batch2_68,wsper_batch2_69,wsper_batch2_70,wsper_batch2_71,wsper_batch2_72,wsper_batch2_73,wsper_batch2_74,wsper_batch2_75,wsper_batch2_76,wsper_batch2_77,wsper_batch2_78,wsper_batch2_79,wsper_batch2_80,wsper_batch2_81,wsper_batch2_82,wsper_batch2_83,wsper_batch2_84,wsper_batch2_85,wsper_batch2_86,wsper_batch2_87,wsper_batch2_88,wsper_batch2_89,wsper_batch2_90,wsper_batch2_91,wsper_batch2_92,wsper_batch2_93,wsper_batch2_94,wsper_batch2_95,wsper_batch2_96
Root101,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root61,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root265,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root1310,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root77,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root123D2,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root685,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root695,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root142,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
Root935,6196,3239,3301,3912,3026,4671,4583,5228,4949,2246,3334,5483,2329,1777,2571,4427,4300,4414,3700,2177,3007,3173,2727,1980,1622,4049,2412,3176,1635,2677,3718,8926,5173,6226,5269,2464,5533,3805,5904,8313,4487,4864,7938,7526,6258,10836,9452,2474,4735,2896,3691,7646,5488,8611,10390,7031,7994,3243,4426,6934,3345,2415,5972,2666,2601,3707,3826,3235,3362,6323,4793,2339,1784,870,1965,2264,1095,2228,2397,1857,2706,2956,3564,4349,3482,4495,2951,4079,3623,2709,3247,2488,2392,,
