SampleID	compartment	genotype	technical replicate	biological replicate
wsper54	root	Ws4	a	B
wsper55	root	Ws4	b	B
wsper56	root	Ws4	c	B
wsper57	root	Ws4	d	B
wsper58	shoot	per5	e	B
wsper59	shoot	Ws4	a	B
wsper60	shoot	Ws4	b	B
wsper61	root	per5	c	B
wsper62	shoot	Ws4	d	B
wsper63	shoot	Ws4	e	B
wsper64	root	per5	a	B
wsper65	root	per5	b	B
wsper66	root	per5	c	B
wsper67	shoot	Ws4	d	B
wsper68	root	per5	e	B
wsper69	shoot	per5	a	B
wsper70	root	Ws4	b	B
wsper71	shoot	per5	c	B
wsper72	shoot	per5	d	B
wsper73	shoot	per5	d	B
wsper94	matrix	Ws4	a	B
wsper95	matrix	Ws4	b	B
wsper96	matrix	Ws4	c	B
wsper97	matrix	per5	a	B
wsper98	matrix	per5	b	B
wsper99	matrix	per5	c	B
wsper107	root	Ws4	a	C
wsper108	root	Ws4	b	C
wsper109	root	Ws4	c	C
wsper110	root	Ws4	d	C
wsper111	root	Ws4	e	C
wsper112	shoot	Ws4	a	C
wsper113	shoot	Ws4	b	C
wsper114	shoot	Ws4	c	C
wsper115	shoot	Ws4	d	C
wsper116	shoot	Ws4	e	C
wsper117	root	per5	a	C
wsper118	root	per5	b	C
wsper119	root	per5	c	C
wsper120	root	per5	d	C
wsper121	root	per5	e	C
wsper122	shoot	per5	a	C
wsper123	shoot	per5	b	C
wsper124	shoot	per5	c	C
wsper125	shoot	per5	d	C
wsper126	shoot	per5	d	C
wsper147	matrix	Ws4	a	C
wsper148	matrix	Ws4	b	C
wsper149	matrix	Ws4	c	C
wsper150	matrix	per5	a	C
wsper151	matrix	per5	b	C
wsper152	matrix	per5	c	C
