"ID","Gene","Chromosome","Start","End","Strand","Length","BioType","Description","Ws4_R_M1","Ws4_R_M2","Ws4_R_M3","Ws4_R_SC1","Ws4_R_SC2","Ws4_R_SC3","per5_R_M1","per5_R_M2","per5_R_M3","per5_R_SC1","per5_R_SC2","per5_R_SC3","per5_R_M_vs_Ws4_R_M_pvalue","per5_R_M_vs_Ws4_R_M_padj","per5_R_M_vs_Ws4_R_M_log2FoldChange","Ws4_R_SC_vs_Ws4_R_M_pvalue","Ws4_R_SC_vs_Ws4_R_M_padj","Ws4_R_SC_vs_Ws4_R_M_log2FoldChange","per5_R_SC_vs_Ws4_R_SC_pvalue","per5_R_SC_vs_Ws4_R_SC_padj","per5_R_SC_vs_Ws4_R_SC_log2FoldChange","per5_R_SC_vs_per5_R_M_pvalue","per5_R_SC_vs_per5_R_M_padj","per5_R_SC_vs_per5_R_M_log2FoldChange","cl"
"AT4G33720.1",NA,"4",16182743,16183619,"+",876,"protein_coding","AT4g33720/T16L1_210 [Source:UniProtKB/TrEMBL;Acc:O81888]",80.2391052747505,56.7275204174744,60.7091693364018,164.765751745024,327.625731436297,204.526544997283,59.6553995618048,34.2798646469676,40.2806108662347,2389.09684454394,1859.5822239307,1327.36072856705,0.0915449795411372,0.957700163549322,-0.55450322281337,1.07496871337904e-09,3.65363716855101e-07,1.88182840757534,1.96059210895023e-24,1.60635924644196e-21,3.05480155927042,7.17903631799855e-64,1.8788255947834e-59,5.49113318965912,5
"AT4G22212.1",NA,"4",11753842,11754752,"+",910,"protein_coding","Defensin-like protein 98 [Source:UniProtKB/Swiss-Prot;Acc:Q94AZ8]",394.050695474757,667.315653910782,827.169887052679,600.681619179757,1134.68445634047,1492.63387150568,435.443079504325,829.516442813125,1213.21142663627,4389.38910645897,5471.2351555753,5939.95020910316,0.0295235174346455,0.708939911366583,0.329699773250367,8.09177771439859e-06,0.000904999634886861,0.673706374875461,1.08383137280119e-43,3.77403631901533e-40,2.09300171939343,7.63301053909108e-57,9.98817594092763e-53,2.43700832101852,7
"AT1G26250.1",NA,"1",9083838,9085464,"+",1626,"protein_coding","Proline-rich extensin-like family protein [Source:UniProtKB/TrEMBL;Acc:Q9C669]",4877.42206900299,5781.25641621799,5496.61602805509,11222.5346008785,11508.7756247579,13840.2225970374,3197.01280019234,2822.46304123517,2675.2500530203,15097.3230119219,11041.6634491888,13102.8059415702,1.96305687891465e-10,2.97675763944308e-07,-0.892360445137814,3.79300592968483e-17,6.61778387905211e-14,1.17664081844657,0.50070633079214,0.944398540215935,0.0961876874461362,1.81352156081789e-50,1.58205575893883e-46,2.16518895103052,5
"AT4G13180.1",NA,"4",7657094,7658302,"-",1208,"protein_coding","AT4g13180/F17N18_70 [Source:UniProtKB/TrEMBL;Acc:Q9SVQ9]",2438.018366789,2133.03182074607,1885.4962336401,1334.30806796399,1008.52566394919,961.10268431366,2223.48787546665,1941.23754094989,1663.74611684719,865.58147871952,774.07553537727,769.984806508865,0.0552441483453769,0.865495121319359,-0.141761557489897,4.68428912351348e-36,1.22592530651471e-31,-0.948891533304055,1.9175148804824e-05,0.000953860929028538,-0.347933996589016,1.57793306939862e-46,1.03240215898078e-42,-1.15506397240317,8
"AT4G01870.1",NA,"4",808376,810574,"-",2198,"protein_coding","tolB protein-related [Source:TAIR;Acc:AT4G01870]",1381.2835866581,2030.13434471524,2142.46780383614,734.369205961629,953.39421768733,1118.25280439567,1494.33402886068,2180.97240721698,2048.50662843101,484.172508037008,752.126120354151,824.583978947836,0.704638002203268,0.999931207122935,0.0418489670650465,8.2466036986042e-20,1.962016958147e-16,-1.02264182636263,2.10623284914679e-07,1.76196181617664e-05,-0.612566276067761,5.80601453775787e-46,3.03898412935323e-42,-1.67705706949544,6
"AT4G34135.1","UGT73B2","4",16345150,16347364,"-",2214,"protein_coding","UDP-glucosyl transferase 73B2 [Source:UniProtKB/Swiss-Prot;Acc:Q94C57]",1453.10954080549,1534.98615134406,1590.66298181742,867.939039949113,738.526031449447,844.190346872281,1420.59032312477,1432.6515751997,1358.90786105113,527.153734365467,573.855260480334,594.820789940479,0.166871420932553,0.999931207122935,-0.119267118752654,1.09480451729924e-24,5.73042580444766e-21,-0.905225213089455,1.42205984650464e-08,1.47814631134626e-06,-0.539129141545666,9.33620814856952e-45,4.07229839093688e-41,-1.32508723588247,6
"AT5G23840.1",NA,"5",8035690,8037110,"+",1420,"protein_coding","MD-2-related lipid recognition domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q9FF96]",50.4158914079948,19.2551083699281,30.8886198408967,135.377225729954,53.4676610587466,52.7642637002164,84.815330834473,89.9342340093685,81.6090789151844,1706.95418045193,1052.25033459639,1170.83785291822,1.35779598036652e-05,0.00475141554924411,1.42870391316773,0.000127715304132499,0.00827437390757791,1.26438650422567,3.72475320247015e-45,1.76855691088529e-41,4.31069358047633,2.98800404678762e-41,1.1171293415497e-37,4.14637617153426,7
"AT2G15490.3","UGT73B4","2",6761635,6763474,"+",1839,"protein_coding","UDP-glycosyltransferase 73B4 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y232]",1351.56468896039,1100.47537864487,1129.50596293244,680.966009733953,551.415354270531,539.197283849944,1456.30074636978,1196.78131595325,1184.51510160988,515.686032415398,398.349189774385,457.911707788925,0.273249433481159,0.999931207122935,0.104450671518418,3.39783033048814e-24,1.48207695965342e-20,-0.999178729907871,0.00593216661780327,0.103541582376031,-0.291742857148956,7.21852748548786e-41,2.36145103528379e-37,-1.39537225857525,6
"AT3G55970.1","JRG21","3",20766735,20769410,"-",2675,"protein_coding","JRG21 [Source:UniProtKB/TrEMBL;Acc:A0A178V764]",0.82535734907226,3.042372236572,2.20431682150508,0,0.808791395320327,1.05692241625555,1.67805689626323,4.27879623291014,10.3241884723041,335.589066934749,448.234463619414,815.271633702191,0.0749708413876828,0.920957645049307,1.33926112041308,0.123371596253326,0.579149425210009,-1.77784824702603,7.91569709359231e-21,4.16052026294719e-18,9.30027395456777,2.26518538759407e-38,6.58690741985827e-35,6.18316458712866,1
"AT2G26370.1",NA,"2",11224565,11226235,"+",1670,"protein_coding","At2g26370 [Source:UniProtKB/TrEMBL;Acc:O48704]",30.6342177599327,14.1752857207745,26.5062481133252,23.3739000332382,20.2948901904718,34.7560561118574,17.6548822481795,27.8673227529948,40.3340795285626,589.482078406523,527.046589662929,758.011056355926,0.622352105765111,0.999931207122935,0.182649854392511,0.89010224490588,0.984433898355733,0.0514750224466369,2.01842051208135e-39,6.24746002278336e-36,4.49489364453447,2.74452463767265e-36,7.18269542925309e-33,4.3637188125886,7
